Ron_ohm,ODT_ohm,trace_length_mm,C_decap_nF,overshoot_pct,undershoot_pct,prop_delay_ps,eye_height_mV,SSN_mV,transition_pp_mV,setup_margin_ps,rise_time_ps,analysis_pass
28.0,48.0,5.0,1000.0,0.0,12.1827,40.8853,270.1694,83.6668,221.1833,56.0202,44.2097,1
28.0,48.0,5.0,220.0,0.0,12.1798,40.8892,270.1429,83.6665,221.181,56.0211,44.2077,1
28.0,48.0,5.0,2200.0,0.0,12.1832,40.8847,270.1734,83.6668,221.1837,56.02,44.2099,1
28.0,48.0,5.0,47.0,0.0,12.1661,40.9192,269.9376,83.6655,221.1696,56.0206,44.2088,1
28.0,48.0,5.0,470.0,0.0,12.1818,40.8865,270.1611,83.6667,221.1826,56.0205,44.209,1
28.0,48.0,5.0,4700.0,0.0,12.1834,40.8845,270.1752,83.6668,221.1839,56.02,44.2101,1
28.0,48.0,5.0,680.0,0.0,12.1824,40.8858,270.166,83.6667,221.183,56.0203,44.2094,1
28.0,60.0,10.0,100.0,0.0,21.9302,66.5337,353.0033,76.6621,240.8596,55.4367,45.3767,1
28.0,60.0,10.0,1000.0,0.0,21.9402,66.5201,353.082,76.6621,240.866,55.4314,45.3871,1
28.0,60.0,10.0,220.0,0.0,21.9362,66.5254,353.0513,76.6621,240.8635,55.4335,45.383,1
28.0,60.0,10.0,2200.0,0.0,21.9408,66.5193,353.0867,76.6621,240.8664,55.4311,45.3878,1
28.0,60.0,10.0,47.0,0.0,21.9176,66.5511,352.9031,76.6621,240.8516,55.4432,45.3636,1
28.0,60.0,10.0,470.0,0.0,21.9389,66.5218,353.0723,76.6621,240.8652,55.4321,45.3858,1
28.0,60.0,10.0,4700.0,0.0,21.941,66.519,353.0887,76.6621,240.8666,55.431,45.3881,1
28.0,60.0,10.0,680.0,0.0,21.9396,66.5208,353.078,76.6621,240.8657,55.4317,45.3866,1
28.0,60.0,15.0,100.0,0.0,17.3476,96.12,283.711,72.275,242.332,57.1321,41.9858,1
28.0,60.0,15.0,1000.0,0.0,17.3496,96.1168,283.743,72.2759,242.3384,57.1322,41.9856,1
28.0,60.0,15.0,220.0,0.0,17.3488,96.118,283.7308,72.2755,242.3359,57.1322,41.9856,1
28.0,60.0,15.0,2200.0,0.0,17.3497,96.1166,283.7448,72.2759,242.3388,57.1322,41.9856,1
28.0,60.0,15.0,47.0,0.0,17.3451,96.1237,283.6733,72.2739,242.3239,57.132,41.986,1
28.0,60.0,15.0,470.0,0.0,17.3493,96.1171,283.7393,72.2758,242.3376,57.1322,41.9856,1
28.0,60.0,15.0,4700.0,0.0,17.3498,96.1165,283.7455,72.276,242.339,57.1322,41.9856,1
28.0,60.0,15.0,680.0,0.0,17.3495,96.1169,283.7415,72.2758,242.3381,57.1322,41.9856,1
28.0,60.0,20.0,100.0,0.0,18.5713,123.8328,300.1131,98.9466,256.5887,55.4329,45.3841,1
28.0,60.0,20.0,1000.0,0.0,18.5782,123.824,300.1982,98.947,256.5955,55.4329,45.3842,1
28.0,60.0,20.0,220.0,0.0,18.5755,123.8274,300.1647,98.9469,256.5928,55.4329,45.3841,1
28.0,60.0,20.0,2200.0,0.0,18.5786,123.8235,300.2034,98.947,256.5959,55.4329,45.3842,1
28.0,60.0,20.0,47.0,0.0,18.5627,123.8438,300.0065,98.9461,256.5801,55.433,45.3841,1
28.0,60.0,20.0,470.0,0.0,18.5773,123.8251,300.1876,98.947,256.5947,55.4329,45.3842,1
28.0,60.0,20.0,4700.0,0.0,18.5788,123.8232,300.2056,98.9471,256.5961,55.4329,45.3842,1
28.0,60.0,20.0,680.0,0.0,18.5778,123.8245,300.1938,98.947,256.5952,55.4329,45.3842,1
28.0,60.0,25.0,100.0,0.0,20.8431,151.6517,330.4515,87.8716,246.0761,53.7644,48.7213,1
28.0,60.0,25.0,1000.0,0.0,20.8498,151.6443,330.5106,87.8718,246.0827,53.7627,48.7246,1
28.0,60.0,25.0,220.0,0.0,20.8472,151.6472,330.4873,87.8717,246.0801,53.7634,48.7233,1
28.0,60.0,25.0,2200.0,0.0,20.8502,151.6439,330.5142,87.8718,246.0831,53.7626,48.7248,1
28.0,60.0,25.0,47.0,0.0,20.8347,151.6611,330.3763,87.8715,246.0679,53.7664,48.7172,1
28.0,60.0,25.0,470.0,0.0,20.849,151.6453,330.5032,87.8717,246.0818,53.7629,48.7241,1
28.0,60.0,25.0,4700.0,0.0,20.8504,151.6437,330.5158,87.8718,246.0833,53.7626,48.7248,1
28.0,60.0,25.0,680.0,0.0,20.8495,151.6447,330.5075,87.8717,246.0823,53.7628,48.7244,1
28.0,60.0,5.0,100.0,0.0,17.1099,41.7895,279.3861,99.6686,242.5906,55.6511,44.9478,1
28.0,60.0,5.0,1000.0,0.0,17.1174,41.7796,279.4704,99.6693,242.5973,55.6487,44.9526,1
28.0,60.0,5.0,220.0,0.0,17.1145,41.7835,279.4372,99.669,242.5947,55.6496,44.9507,1
28.0,60.0,5.0,2200.0,0.0,17.1179,41.779,279.4755,99.6694,242.5977,55.6486,44.9528,1
28.0,60.0,5.0,47.0,0.0,17.1005,41.8019,279.2805,99.6677,242.5822,55.654,44.9419,1
28.0,60.0,5.0,470.0,0.0,17.1165,41.7809,279.4599,99.6692,242.5964,55.649,44.952,1
28.0,60.0,5.0,4700.0,0.0,17.1181,41.7788,279.4778,99.6694,242.5979,55.6485,44.953,1
28.0,60.0,5.0,680.0,0.0,17.117,41.7801,279.466,99.6693,242.5969,55.6488,44.9523,1
28.0,80.0,10.0,100.0,0.0,27.7295,67.5464,371.5237,92.3376,258.4169,55.1598,45.9303,1
28.0,80.0,10.0,1000.0,0.0,27.7396,67.5355,371.6051,92.3376,258.4238,55.1552,45.9396,1
28.0,80.0,10.0,220.0,0.0,27.7356,67.5397,371.5735,92.3376,258.4211,55.157,45.9359,1
28.0,80.0,10.0,2200.0,0.0,27.7402,67.5349,371.6099,92.3376,258.4242,55.1549,45.9402,1
28.0,80.0,10.0,47.0,0.0,27.7168,67.5603,371.4198,92.3376,258.4083,55.1657,45.9187,1
28.0,80.0,10.0,470.0,0.0,27.7383,67.5368,371.5951,92.3376,258.4229,55.1558,45.9384,1
28.0,80.0,10.0,4700.0,0.0,27.7405,67.5346,371.612,92.3376,258.4244,55.1548,45.9404,1
28.0,80.0,10.0,680.0,0.0,27.739,67.5361,371.6009,92.3376,258.4234,55.1554,45.9391,1
28.0,80.0,15.0,100.0,0.0,22.5972,97.2149,289.2572,89.3975,266.6345,57.0448,42.1603,1
28.0,80.0,15.0,1000.0,0.0,22.5994,97.2131,289.2844,89.3985,266.6416,57.045,42.1601,1
